iteration,critic_loss,actor_loss,q_value,q1_value,q2_value
124,0.14502090215682983,-0.5748946666717529,0.5740387439727783,0.5740387439727783,0.5736802816390991
253,0.2821590304374695,-0.8814663887023926,0.6218250393867493,0.6218250393867493,0.6280862092971802
381,0.27666711807250977,-1.0054888725280762,0.5925906896591187,0.5925906896591187,0.5841982364654541
510,0.14087256789207458,-0.9101633429527283,0.3176416754722595,0.3176416754722595,0.3230822682380676
634,0.14287996292114258,-0.9193266034126282,0.2633848190307617,0.2633848190307617,0.24299877882003784
798,0.2617103159427643,-0.7705889940261841,0.13085582852363586,0.13085582852363586,0.13154274225234985
902,0.1348242163658142,-0.6777658462524414,-0.04911348223686218,-0.04911348223686218,-0.06312885880470276
1013,0.01979266107082367,-0.6238607168197632,-0.07122278213500977,-0.07122278213500977,-0.06521990895271301
1151,0.137302428483963,-0.3243093490600586,-0.2786681652069092,-0.2786681652069092,-0.2754731774330139
1279,0.280934602022171,-0.0999569222331047,-0.43143728375434875,-0.43143728375434875,-0.4252159595489502
1368,0.14375896751880646,0.02346152253448963,-0.57947838306427,-0.57947838306427,-0.5815854072570801
1459,0.14137163758277893,0.08992242068052292,-0.6003025770187378,-0.6003025770187378,-0.59751296043396
1550,0.021323073655366898,0.18234270811080933,-0.7152687907218933,-0.7152687907218933,-0.7144010663032532
1690,0.1328388750553131,0.3399472236633301,-0.8493050336837769,-0.8493050336837769,-0.8544471263885498
1794,0.1381320357322693,0.44504374265670776,-0.9380359649658203,-0.9380359649658203,-0.9386774301528931
1892,0.14501768350601196,0.5159035325050354,-0.9847131371498108,-0.9847131371498108,-0.985298752784729
2038,0.1832934468984604,0.5569274425506592,-1.0464178323745728,-1.0464178323745728,-1.0537011623382568
2077,0.41810017824172974,0.617233395576477,-1.1014704704284668,-1.1014704704284668,-1.0968962907791138
2327,0.0076602306216955185,2.1319193840026855,-1.5014358758926392,-1.5014358758926392,-1.514220118522644
2577,0.6949702501296997,2.870436191558838,-2.351846933364868,-2.351846933364868,-2.358506917953491
2827,0.3731282353401184,3.875706195831299,-3.221972942352295,-3.221972942352295,-3.239103317260742
3077,0.15407687425613403,5.3319478034973145,-4.37479829788208,-4.37479829788208,-4.394631385803223
3327,0.449017733335495,7.041105270385742,-5.842421531677246,-5.842421531677246,-5.872411727905273
3577,0.9831529855728149,8.15548038482666,-6.969436168670654,-6.969436168670654,-6.981306552886963
3827,1.04079008102417,8.104578018188477,-8.498998641967773,-8.498998641967773,-8.501100540161133
