episode,reward,avg_reward,step_count,reached_target,distance_to_target
88,-147.1569959703737,-143.2167394730052,250,True,30.841084
89,3.129978270301376,-131.94595004544013,35,True,0.1168356
90,-48.28079092873953,-100.83629169082852,250,True,13.177459
91,-91.1598418709573,-104.38238597612096,250,True,19.589758
92,2.91950946015522,-104.43497504247014,88,True,0.09329162
93,-245.89313011928024,-124.0779035038006,250,True,30.1641
94,-70.85852954231991,-119.77067152001909,250,True,4.4171166
95,-130.31480118546008,-98.99895686131524,250,False,4.4332566
96,-348.26361238563425,-126.9832194939826,250,True,60.826496
97,-183.51985466264603,-125.93980689349546,250,True,8.01202
98,-51.49985722338847,-116.37409301879693,250,True,7.0747104
99,-69.82606935205959,-123.66969778103302,250,True,25.426304
100,-294.4845049364467,-148.29006918180374,250,True,30.892439
101,-163.27814018162252,-155.50189901287027,250,True,34.447304
102,-39.01139219290495,-159.6949891781763,250,True,10.63604
103,3.8950229400435936,-134.71617387224387,30,True,0.03476274
104,-208.9859528006164,-148.52891619807355,250,True,53.231407
105,-209.1361759875659,-156.4110536782841,250,True,38.570778
106,-155.99690129624847,-137.18438256934556,250,False,34.371006
107,-40.79516114841071,-122.911913217922,250,True,22.53175
108,-425.0694176250753,-160.26886925809066,250,True,82.17902
109,-127.15480552921366,-166.00174287580612,250,True,30.489693
110,-355.22709243583785,-172.07600162574525,250,False,61.59637
111,0.6125064092898129,-155.68693696665397,162,True,0.12291413
112,-449.36305922395195,-196.7221036697587,250,False,53.234287
113,-124.43496897123542,-209.55510286088656,250,True,32.14413
114,-498.8308678115404,-238.53959436197897,250,False,83.278275
115,-442.2744704374437,-261.85342380696676,250,True,104.01748
116,-340.6756172713895,-280.32129540448085,250,True,108.261765
117,3.8586997568173014,-275.855909313958,36,True,0.051839687
118,-393.92806760204826,-272.7417743116554,250,True,121.046104
119,-476.9602609078561,-307.7223198495195,250,False,41.128536
120,-134.29992037704184,-285.62960264364,250,True,40.417526
121,-327.76252344028615,-318.4671056285976,250,True,75.222824
122,-150.85237260248596,-288.616036966451,250,True,44.979298
123,-463.2426069731662,-322.49680076664407,250,False,119.68581
124,-396.70346974002206,-312.2840609594923,250,False,20.194035
125,-235.22272845945753,-291.5788867616936,250,False,27.096796
126,-190.89296942943565,-276.60062197749824,250,True,41.55074
127,1.973457220409846,-276.78914623113894,99,True,0.12436897
128,-461.18621660663854,-283.514961131598,250,False,79.269516
129,2.724519802183065,-235.5464830605941,46,True,0.11008859
130,-217.55837101203372,-243.8723281240933,250,False,14.598727
131,3.2872618532776503,-210.76734959473688,64,True,0.11064772
132,-290.96601049420525,-224.77871338390884,250,True,93.82558
133,3.6151265461920326,-178.092940031973,37,True,0.09942217
134,-380.98710350974284,-176.5213034089451,250,True,77.154305
135,-163.3347078520812,-169.33250134820747,250,False,28.601362
136,-467.08448502384016,-196.9516529076479,250,False,29.413948
137,-114.83245359025892,-208.6322439887148,250,True,27.022734
138,-161.9496878819468,-178.7085911162456,250,False,50.074913
139,-351.7241537864608,-214.15345847510997,250,False,72.01805
140,-492.01342504180957,-241.59896387808757,250,False,112.24273
141,2.9991391671767937,-241.62777614669767,43,True,0.06638549
142,-134.55142639405105,-225.98631773668222,250,False,39.85635
143,-385.40286351178685,-264.8881167424801,250,True,51.325558
144,-365.94211040537164,-263.383617432043,250,True,52.18589
145,1.8036719153507725,-246.8697794552999,140,True,0.18623151
146,1.0784902758765036,-200.05348192532819,113,True,0.06702401
147,-9.272006468066271,-189.4974372131089,250,False,0.8215158
148,-7.151428893116024,-174.0176113142258,250,False,0.80868995
149,-2.370138598197485,-139.08220979539948,250,False,0.3863797
150,-4.56694101824031,-90.33756139304256,250,False,0.50310254
151,-1.8795152897923644,-90.82542683873947,174,True,0.109947614
152,-8.105142267703593,-78.18079842610474,250,False,0.92702264
153,-3.3742756099531848,-39.97793963592135,250,False,0.43051243
154,-9.200091923053652,-4.303737787689561,250,False,0.90674996
